repeat,variant,fork_mode,stage,role,process_index,threads,rss_kb,pss_kb,uss_kb,proportional_shared_kb,pss_anon_kb,pss_file_kb,private_clean_kb,private_dirty_kb,shared_clean_kb,shared_dirty_kb,minor_faults,major_faults
1,stock,lazy,after_equal_work,worker,16,1,105700,85819,84800,1019,84883,920,0,84800,19280,1620,21863,0
1,stock,lazy,settled,master,0,1,17512,6159,5400,759,2679,1600,1000,4400,10372,1740,1992,0
1,stock,lazy,settled,worker,1,1,105700,85818,84800,1018,84883,920,0,84800,19280,1620,21860,0
1,stock,lazy,settled,worker,2,1,105500,85801,84796,1005,84879,906,0,84796,19084,1620,21868,1
1,stock,lazy,settled,worker,3,1,105700,85818,84800,1018,84883,920,0,84800,19280,1620,21863,0
1,stock,lazy,settled,worker,4,1,105584,85814,84804,1010,84887,911,0,84804,19160,1620,21870,0
1,stock,lazy,settled,worker,5,1,105696,85818,84800,1018,84883,919,0,84800,19276,1620,21865,0
1,stock,lazy,settled,worker,6,1,105496,85801,84796,1005,84879,906,0,84796,19080,1620,21882,0
1,stock,lazy,settled,worker,7,1,105452,85797,84796,1001,84879,903,0,84796,19036,1620,21867,2
1,stock,lazy,settled,worker,8,1,105564,85809,84800,1009,84883,910,0,84800,19144,1620,21866,0
1,stock,lazy,settled,worker,9,1,105652,85817,84800,1017,84883,918,0,84800,19232,1620,21862,0
1,stock,lazy,settled,worker,10,1,105696,85814,84796,1018,84879,920,0,84796,19280,1620,21857,2
1,stock,lazy,settled,worker,11,1,105552,85804,84796,1008,84879,909,0,84796,19136,1620,21874,0
1,stock,lazy,settled,worker,12,1,105684,85818,84800,1018,84883,919,0,84800,19264,1620,21861,0
1,stock,lazy,settled,worker,13,1,105700,85818,84800,1018,84883,920,0,84800,19280,1620,21860,0
1,stock,lazy,settled,worker,14,1,105692,85810,84792,1018,84875,920,0,84792,19280,1620,21858,0
1,stock,lazy,settled,worker,15,1,105700,85818,84800,1018,84883,920,0,84800,19280,1620,21866,0
1,stock,lazy,settled,worker,16,1,105700,85818,84800,1018,84883,920,0,84800,19280,1620,21863,0
1,native,lazy,forked,master,0,1,21060,8933,8064,869,5181,1872,1204,6860,10544,2452,2897,0
1,native,lazy,forked,worker,1,1,48576,30912,29988,924,30117,783,0,29988,16256,2332,7942,0
