timestamp,repeat,variant,workers,concurrency,endpoint,duration_s,requests,rps,p50,p99,errors
2026-08-07T17:04:20Z,2,stock,16,64,db,15,415758,27534.97,554.00us,845.00us,0
2026-08-07T17:04:38Z,2,stock,16,64,query20,15,28464,1895.11,8.48ms,10.50ms,0
2026-08-07T17:04:56Z,2,stock,16,64,in32,15,287809,19061.57,786.00us,1.51ms,0
2026-08-07T17:05:15Z,2,stock,16,64,fortunes,15,586063,38812.89,397.00us,546.00us,0
2026-08-07T17:05:33Z,2,stock,16,64,update20,15,11701,779.06,20.98ms,27.15ms,0
2026-08-07T17:05:52Z,3,stock,16,64,plaintext,15,1643189,108820.67,128.00us,244.00us,0
2026-08-07T17:06:11Z,3,stock,16,64,db,15,425440,28175.22,538.00us,0.86ms,0
2026-08-07T17:06:29Z,3,stock,16,64,query20,15,32697,2177.03,7.00ms,9.58ms,0
2026-08-07T17:06:47Z,3,stock,16,64,in32,15,336062,22257.18,693.00us,0.98ms,0
2026-08-07T17:07:05Z,3,stock,16,64,fortunes,15,532559,35270.17,422.00us,784.00us,0
2026-08-07T17:07:23Z,3,stock,16,64,update20,15,12155,809.31,19.68ms,22.88ms,0
2026-08-07T17:07:43Z,3,native,16,64,plaintext,15,1729355,114527.59,123.00us,212.00us,0
2026-08-07T17:08:01Z,3,native,16,64,db,15,491422,32545.53,464.00us,0.97ms,0
2026-08-07T17:08:20Z,3,native,16,64,query20,15,55159,3672.58,4.07ms,6.58ms,0
2026-08-07T17:08:38Z,3,native,16,64,in32,15,524766,34753.93,440.00us,624.00us,0
2026-08-07T17:08:56Z,3,native,16,64,fortunes,15,525316,34789.85,440.00us,0.93ms,0
2026-08-07T17:09:14Z,3,native,16,64,update20,15,15219,1013.28,15.58ms,19.68ms,0
