timestamp,repeat,variant,fork_mode,load_kind,endpoint,workers,concurrency,duration_s,requests,rps,p50,p99,errors
2026-08-08T20:04:29Z,1,stock,preload,equal_work,mixed,16,64,18.54,300032,16182.96,,,0
2026-08-08T20:04:48Z,1,native,preload,equal_work,mixed,16,64,13.36,300032,22457.49,,,0
